종목명,jmCd
유리시공기능사,7151
응용지질기사,1550
의공기사,1176
의공산업기사,2176
의료전자기능사,6176
의류기사,1301
의류기술사,0561
이러닝운영관리사,9547
이륜자동차정비기능사,9774
이산화탄소가스아크용접기능사,6225
이용사,7908
이용장,3925
인간공학기사,1875
인간공학기술사,0875
인쇄기능사,7524
인쇄설계기사,1391
일반기계기사,1021
일식조리기능사,7912
일식조리산업기사,2973
임베디드기능사,6801
임베디드기사,1121
임산가공기사,1590
임상심리사1급,9539
임상심리사2급,9540
임업종묘기능사,7630
임업종묘기사,1570
자기비파괴검사기능사,7473
자기비파괴검사기사,1613
자기비파괴검사산업기사,2613
자동차보수도장기능사,6836
자동차정비기능사,6281
자동차정비기능장,3110
자동차정비기사,1070
자동차정비산업기사,2070
자동차차체수리기능사,6285
자동화설비기능사,6415
자동화설비산업기사,2034
자연생태복원기사,1938
자연생태복원산업기사,2938
자연환경관리기술사,0938
잠수기능사,7612
잠수기능장,3911
잠수산업기사,2521
전기공사기사,1160
전기공사산업기사,2150
전기기기산업기사,2151
전기기능사,7780
전기기능장,3380
전기기사,1150
전기산업기사,2140
전기안전기술사,0730
전기응용기술사,0250
전기철도기사,1741
전기철도기술사,0432
전기철도산업기사,2036
전산응용건축제도기능사,7061
전산응용기계제도기능사,6151
전산응용토목제도기능사,7072
전자기능사,6790
전자기능장,3410
전자기사,1170
전자산업기사,2170
전자응용기술사,0301
전자출판기능사,6791
전자캐드기능사,6785
전자회로설계산업기사,2172
정밀측정기능사,6120
정밀측정산업기사,2104
정밀화학기사,1125
정보관리기술사,0601
정보기기운용기능사,6892
정보처리기사,1320
정보처리산업기사,2290
제강기능사,6515
제강기능장,3240
제과기능사,7892
제과기능장,3923
제과산업기사,4223
제빵기능사,7893
제빵산업기사,4224
제선기능사,6500
제선기능장,3230
제판기사,1810
제품디자인기사,1512
제품디자인기술사,0960
제품디자인산업기사,2432
제품응용모델링기능사,6793
조경기능사,7900
조경기사,1370
조경기술사,0670
조경산업기사,2320
조리기능장,3922
조선기술사,0320
조선산업기사,2220
조선선체기사,1221
조선의장기사,1222
조적기능사,7070
조주기능사,7916
종자기능사,7620
종자기사,1560
종자기술사,0840
종자산업기사,2470
주조기능사,6461
주조기능장,3200
주조산업기사,2105
중식조리기능사,7913
중식조리산업기사,2974
지게차운전기능사,7875
지도제작기능사,7680
지적기능사,7650
지적기사,1390
지적기술사,0690
지적산업기사,2340
지질및지반기술사,0825
직업상담사1급,9510
직업상담사2급,9511
차량기술사,0050
천공기운전기능사,7483
천장크레인운전기능사,7864
철근기능사,7080
철도기술사,0430
철도동력차기관정비산업기사,2042
철도동력차전기정비산업기사,2043
철도신호기사,1740
철도신호기술사,0261
철도신호산업기사,2160
철도운송산업기사,2045
철도전기신호기능사,6772
철도차량기사,1030
철도차량기술사,0431
철도차량산업기사,2030
철도차량정비기능사,6352
철도차량정비기능장,3150
철도토목기능사,7010
철도토목기사,1760
초음파비파괴검사기능사,7472
초음파비파괴검사기사,1612
초음파비파괴검사산업기사,2612
축로기능사,6381
축산기능사,7481
축산기사,1581
축산기술사,0851
축산산업기사,2491
측량기능사,6980
측량및지형공간정보기사,1380
측량및지형공간정보기술사,0680
측량및지형공간정보산업기사,2330
침투비파괴검사기능사,7474
침투비파괴검사기사,1614
침투비파괴검사산업기사,2614
컨벤션기획사1급,9535
컨벤션기획사2급,9536
컨테이너크레인운전기능사,7835
컬러리스트기사,1982
컬러리스트산업기사,2982
컴퓨터그래픽기능사,7796
컴퓨터시스템응용기술사,0622
컴퓨터응용가공산업기사,2025
컴퓨터응용밀링기능사,6032
컴퓨터응용선반기능사,6012
콘크리트기능사,7020
콘크리트기사,1048
콘크리트산업기사,2048
타워크레인운전기능사,7834
타일기능사,7210
텔레마케팅관리사,9541
토목구조기술사,0400
토목기사,1250
토목산업기사,2240
토목시공기술사,0480
토목품질시험기술사,0481
토양환경기사,1948
토양환경기술사,0948
토질및기초기술사,0390
판금제관기능사,6175
판금제관기능장,3095
판금제관산업기사,2012
패션디자인산업기사,2301
패션머천다이징산업기사,2085
펄프종이제조기능사,7646
폐기물처리기사,1950
폐기물처리기술사,0970
폐기물처리산업기사,2950
포장기사,1511
포장기술사,0780
포장산업기사,2431
표면실장장비기능사,6835
표면처리기능사,6480
표면처리기능장,3210
표면처리기술사,0120
표면처리산업기사,2106
품질경영기사,1500
품질경영산업기사,2420
품질관리기술사,0770
프레스금형기능사보,8080
프레스금형기사,1025
프레스금형산업기사,2029
프로그래밍기능사,6921
플라스틱창호기능사,7103
피복아크용접기능사,6223
피아노조율기능사,7917
피아노조율산업기사,2551
한복기능사,7723
한복기능장,3643
한복산업기사,2268
한식조리기능사,7910
한식조리산업기사,2971
항공기관기술사,0370
항공기사,1240
항공기정비기능사,6288
항공기체기술사,0360
항공사진기능사,7670
항공산업기사,2230
항공전기·전자정비기능사,6289
항로표지기능사,6351
항로표지기사,1351
항로표지산업기사,2351
항만및해안기술사,0410
해양공학기사,1403
해양기술사,0700
해양자원개발기사,1402
해양조사산업기사,2350
해양환경기사,1401
화공기사,1110
화공기술사,0210
화공안전기술사,0720
화약류관리기사,1140
화약류관리기술사,0591
화약류관리산업기사,2130
화약류제조기사,1130
화약류제조산업기사,2120
화약취급기능사,7970
화재감식평가기사,1441
화재감식평가산업기사,2441
화학분석기능사,6560
화학분석기사,1563
화훼장식기능사,7625
화훼장식기사,1576
화훼장식산업기사,2625
환경기능사,7918
환경위해관리기사,1029
